Incident_number,division,Zone,market_area,location_name,facility_type,description_of_location,Date_of_incident,time_of_incident,involved_employee_id,INVOLVED_EMPLOYEE_TITLE,INCIDENT_TYPE,WAS_A_MOTOR_VEHICLE_INVOLVED,DATE_REPORTED,HOW_DID_THE_INJURY_OCCUR,WHAT_WAS_THE_INJURY_OR_ILLNESS,DESCRIPTION_OF_INCIDENT,ROOT_CAUSE,INITIAL_ROOT_CAUSE,WHY_DID_THIS_OCCUR__WHY,WHY_DID_THIS_OCCUR__WHY1
CY25-01186,WESTERN DIVISION,SOUTHWEST ZONE,MINNEAPOLIS AP,MINNEAPOLIS-ST PAUL (01750-11),HLE,Breakroom,10/24/2025,6:14 PM,913596,Shuttle Driver,Employee Incident,No,10/24/2024,Repetitive motion strain,Sprain/Strain or Tear of Lower Back Area,Sustained repetitive tasks in Breakroom led to cumulative strain injury.,Customer/3rd Party/Vendor related incident,Third-party delivery vehicle operating unsafely in return area.,"Why was repetitive motion strain not identified or corrected before the incident?
Because routine safety walkthroughs were not being consistently completed in this area.","Why was the risk not prioritized?
Because risk ranking in the current program does not weight frequency of exposure adequately."
CY25-01192,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Fuel island,10/25/2025,4:21 PM,158772,Lot Attendant,Property Damage,No,10/26/2024,Hit by moving vehicle,Slip or Trip but did not fall,Near-miss escalated when vehicle contacted employee in Fuel island.,Poor Ergonomics,Workstation layout requires repeated awkward posture.,"Why did the employee proceed without addressing the hazard?
Because there was no clear escalation path to report minor hazards before they caused injury.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
CY25-01534,WESTERN DIVISION,SOUTH PACIFIC ZONE,LAS VEGAS AP,LAS VEGAS MCCARRAN (02050-11),HCS,Employee entrance,1/20/2026,5:21 AM,384010,Transporter - Rideshare,Vehicle Incident (Motor Vehicle Accident),Yes,1/20/2025,Slip on fuel spill,Contusion/Bruise of Hand,Employee slipped on fuel overspray in Employee entrance during refueling operations.,Standard Work Procedures Insufficient or Non-existent,Employee unaware a procedure existed for this task.,"Why did the employee proceed without addressing the hazard?
Because there was no clear escalation path to report minor hazards before they caused injury.","Why does the root cause persist across multiple incidents?
Because corrective actions from prior incidents were not verified for effectiveness through follow-up audits."
CY25-01294,WESTERN DIVISION,NORTH PACIFIC ZONE,PORTLAND AP,PORTLAND INTL AP (03200-14),ADMIN,Employee entrance,11/20/2025,5:07 AM,576283,Fleet Coordinator,Vehicle Incident (Motor Vehicle Accident),Yes,11/22/2024,Employee slipped on wet floor while walking,Sprain/Strain or Tear of Lower Back Area,Employee slipped on wet surface in Employee entrance. Reported immediately and first aid administered on site.,Standard Work Procedures Insufficient or Non-existent,Employee unaware a procedure existed for this task.,"Why was employee slipped on wet floor while walking not identified or corrected before the incident?
Because routine safety walkthroughs were not being consistently completed in this area.","Why has this area not received an ergonomic or safety engineering review?
Because capital improvement requests require extended lead times and the hazard was classified as low severity in the prior assessment."
CY25-01039,WESTERN DIVISION,NORTH PACIFIC ZONE,SEATTLE AP,SEATTLE-TACOMA INTL (03100-12),AIRPORT,Vehicle wash area,9/19/2025,7:42 PM,971707,Transporter - Rideshare,Vehicle Incident (Motor Vehicle Accident),Yes,9/21/2024,Repetitive motion strain,Sprain/Strain or Tear of Lower Back Area,Repetitive scanning and data entry in Vehicle wash area caused wrist/shoulder strain.,Standard Work Procedures Insufficient or Non-existent,No documented SWP for this task found during investigation.,"Why were standard procedures not followed?
Because employees were under time pressure and the protocol added steps that were perceived as optional.","Why had no corrective action been taken despite prior near-misses?
Because near-misses were not consistently logged and therefore did not trigger a formal review."
CY25-00039,EASTERN DIVISION,NORTHEAST ZONE,BOSTON LOGAN AP,BOSTON LOGAN INTL (01700-11),MAINTENANCE,Counter area,1/11/2025,1:42 PM,211013,Service Agent,Property Damage,No,1/13/2024,Chemical splash during cleaning,No Physical Injury,Cleaning product container failure in Counter area caused unintended chemical contact.,Training Deficiency,Training records incomplete — refresher overdue.,"Why was training insufficient for this scenario?
Because the training curriculum had not been updated to reflect recent changes in equipment and workflow.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
CY25-00155,WESTERN DIVISION,SOUTHWEST ZONE,DENVER AP,DENVER INTL AP (02200-11),HLE,Counter area,2/10/2025,12:56 PM,562113,Fleet Coordinator,Property Damage,No,2/13/2024,Door closed on hand/finger,Laceration of Finger,Vehicle door closed unexpectedly on employee's finger in Counter area.,Failure to Identify Hazards,Design limitations combined with lack of environmental awareness.,"Why were standard procedures not followed?
Because employees were under time pressure and the protocol added steps that were perceived as optional.","Why has this area not received an ergonomic or safety engineering review?
Because capital improvement requests require extended lead times and the hazard was classified as low severity in the prior assessment."
CY25-00157,EASTERN DIVISION,NORTHEAST ZONE,DETROIT AP,DETROIT METRO WAYNE (01650-11),MAINTENANCE,Breakroom,2/11/2025,3:00 PM,941654,Fleet Coordinator,Third Party or Contractor Incident,No,2/12/2024,Repetitive motion strain,Sprain/Strain or Tear of Lower Back Area,Repetitive scanning and data entry in Breakroom caused wrist/shoulder strain.,Unpredictable event (personal issue),Employee had undisclosed pre-existing condition that contributed.,"Why did the employee proceed without addressing the hazard?
Because there was no clear escalation path to report minor hazards before they caused injury.","Why does the root cause persist across multiple incidents?
Because corrective actions from prior incidents were not verified for effectiveness through follow-up audits."
CY25-01680,WESTERN DIVISION,SOUTHWEST ZONE,MINNEAPOLIS AP,MINNEAPOLIS-ST PAUL (01750-11),HLE,Loading dock,2/25/2026,12:49 PM,361204,Fleet Coordinator,Customer Incident,No,2/27/2025,Struck head on low-hanging object,Burn of Hand,Unmarked low-hanging structure in Loading dock caused head contact.,Standard Work Procedures Insufficient or Non-existent,SWP not posted at point of use.,"Why was the hazard not reported prior to the incident?
Because the reporting system is not easily accessible from field locations and the process is perceived as burdensome.","Why does the root cause persist across multiple incidents?
Because corrective actions from prior incidents were not verified for effectiveness through follow-up audits."
CY25-00540,WESTERN DIVISION,SOUTHWEST ZONE,MINNEAPOLIS AP,MINNEAPOLIS-ST PAUL (01750-11),HLE,Customer pickup zone,5/16/2025,7:00 AM,225017,Mechanic A,Third Party or Contractor Incident,No,5/18/2024,Fall from vehicle step,Sprain/Strain or Tear of Lower Back Area,Employee lost footing on vehicle entry step in Customer pickup zone.,Process not error-proof,No physical guard or barrier to prevent access to pinch point.,"Why did the employee proceed without addressing the hazard?
Because there was no clear escalation path to report minor hazards before they caused injury.","Why had no corrective action been taken despite prior near-misses?
Because near-misses were not consistently logged and therefore did not trigger a formal review."
CY25-01725,WESTERN DIVISION,SOUTHWEST ZONE,DENVER AP,DENVER INTL AP (02200-11),HLE,Loading dock,3/6/2026,7:49 AM,996593,Instant Return Rep,Property Damage,No,3/8/2025,Employee slipped on wet floor while walking,Sprain/Strain or Tear of Lower Back Area,Employee slipped on wet surface in Loading dock. Reported immediately and first aid administered on site.,Unpredictable event (personal issue),Employee reported feeling unwell earlier in shift.,"Why was the hazard not reported prior to the incident?
Because the reporting system is not easily accessible from field locations and the process is perceived as burdensome.","Why had no corrective action been taken despite prior near-misses?
Because near-misses were not consistently logged and therefore did not trigger a formal review."
CY25-01104,WESTERN DIVISION,SOUTH PACIFIC ZONE,LAS VEGAS AP,LAS VEGAS MCCARRAN (02050-11),HCS,Loading dock,10/3/2025,4:07 PM,716307,Safety Supervisor,Third Party or Contractor Incident,No,10/3/2024,Tripped over equipment,Other of Multiple Body Parts,Employee stumbled over hose/equipment in Loading dock during regular duties.,Failure to Identify Hazards,No formal hazard identification process in place for this location.,"Why was the hazard not reported prior to the incident?
Because the reporting system is not easily accessible from field locations and the process is perceived as burdensome.","Why does the root cause persist across multiple incidents?
Because corrective actions from prior incidents were not verified for effectiveness through follow-up audits."
CY25-00287,EASTERN DIVISION,NORTHEAST ZONE,CHICAGO AP,O'HARE INTL AP (01850-22),AIRPORT,Counter area,3/16/2025,8:14 AM,284028,Lot Attendant,Customer Incident,No,3/18/2024,Slip on fuel spill,Contusion/Bruise of Hand,Undetected fuel spill in Counter area led to slip and fall incident.,Process not error-proof,No two-person requirement enforced for heavy lift tasks.,"Why was slip on fuel spill not identified or corrected before the incident?
Because routine safety walkthroughs were not being consistently completed in this area.","Why was the risk not prioritized?
Because risk ranking in the current program does not weight frequency of exposure adequately."
CY25-00575,EASTERN DIVISION,MID ATLANTIC ZONE,MIAMI AP,MIAMI INTL AP (01300-10),HLE,Employee entrance,5/24/2025,10:14 AM,122506,Instant Return Rep,Third Party or Contractor Incident,No,5/24/2024,Slip on fuel spill,Contusion/Bruise of Hand,Undetected fuel spill in Employee entrance led to slip and fall incident.,Poor Ergonomics,No ergonomic assessment completed for this task.,"Why was the hazard not reported prior to the incident?
Because the reporting system is not easily accessible from field locations and the process is perceived as burdensome.","Why was the risk not prioritized?
Because risk ranking in the current program does not weight frequency of exposure adequately."
CY25-00168,WESTERN DIVISION,NORTH PACIFIC ZONE,PORTLAND AP,PORTLAND INTL AP (03200-14),ADMIN,Maintenance bay,2/13/2025,3:28 PM,719816,Safety Supervisor,Customer Incident,No,2/15/2024,Door closed on hand/finger,Laceration of Finger,Employee's hand/finger caught in vehicle door during Maintenance bay operations.,Training Deficiency,Training records incomplete — refresher overdue.,"Why did the employee proceed without addressing the hazard?
Because there was no clear escalation path to report minor hazards before they caused injury.","Why was the risk not prioritized?
Because risk ranking in the current program does not weight frequency of exposure adequately."
